first
First Semester SGPA : 9.000 Credits Earned/Total : 22/22
First Semester SGPA : 7.818 Credits Earned/Total : 22/22
First Semester SGPA : 8.136 Credits Earned/Total : 22/22
First Semester SGPA : 9.273 Credits Earned/Total : 22/22
First Semester SGPA : 9.045 Credits Earned/Total : 22/22
First Semester SGPA : 6.955 Credits Earned/Total : 22/22
First Semester SGPA : 8.364 Credits Earned/Total : 22/22
First Semester SGPA : 9.091 Credits Earned/Total : 22/22
First Semester SGPA : 9.045 Credits Earned/Total : 22/22
First Semester SGPA : 6.818 Credits Earned/Total : 22/22
First Semester SGPA : 9.364 Credits Earned/Total : 22/22
First Semester SGPA : 8.636 Credits Earned/Total : 22/22
First Semester SGPA : 7.682 Credits Earned/Total : 22/22
First Semester SGPA : 8.455 Credits Earned/Total : 22/22
First Semester SGPA : 9.409 Credits Earned/Total : 22/22
First Semester SGPA : 8.864 Credits Earned/Total : 22/22
First Semester SGPA : 8.455 Credits Earned/Total : 22/22
First Semester SGPA : 7.364 Credits Earned/Total : 22/22
First Semester SGPA : 6.273 Credits Earned/Total : 22/22
First Semester SGPA : 6.091 Credits Earned/Total : 22/22
First Semester SGPA : 6.864 Credits Earned/Total : 22/22
First Semester SGPA : 7.364 Credits Earned/Total : 22/22
First Semester SGPA : 7.773 Credits Earned/Total : 22/22
First Semester SGPA : 8.818 Credits Earned/Total : 22/22
First Semester SGPA : 7.227 Credits Earned/Total : 22/22
First Semester SGPA : 7.818 Credits Earned/Total : 22/22
First Semester SGPA : 8.909 Credits Earned/Total : 22/22
First Semester SGPA : 9.136 Credits Earned/Total : 22/22
First Semester SGPA : 7.545 Credits Earned/Total : 22/22
First Semester SGPA : 7.545 Credits Earned/Total : 22/22
First Semester SGPA : 9.500 Credits Earned/Total : 22/22
First Semester SGPA : ----- Credits Earned/Total : 19/22
First Semester SGPA : 8.636 Credits Earned/Total : 22/22
First Semester SGPA : ----- Credits Earned/Total : 0/22
First Semester SGPA : 8.636 Credits Earned/Total : 22/22
First Semester SGPA : 6.955 Credits Earned/Total : 22/22
First Semester SGPA : 7.636 Credits Earned/Total : 22/22
First Semester SGPA : 8.682 Credits Earned/Total : 22/22
First Semester SGPA : 7.364 Credits Earned/Total : 22/22
First Semester SGPA : 8.864 Credits Earned/Total : 22/22
First Semester SGPA : 7.045 Credits Earned/Total : 22/22
First Semester SGPA : 7.045 Credits Earned/Total : 22/22
First Semester SGPA : 7.955 Credits Earned/Total : 22/22
First Semester SGPA : 6.864 Credits Earned/Total : 22/22
First Semester SGPA : 7.045 Credits Earned/Total : 22/22
First Semester SGPA : 8.773 Credits Earned/Total : 22/22
First Semester SGPA : 7.364 Credits Earned/Total : 22/22
First Semester SGPA : 6.273 Credits Earned/Total : 22/22
First Semester SGPA : ----- Credits Earned/Total : 18/22
First Semester SGPA : 6.818 Credits Earned/Total : 22/22
